Sample_ID,Base_Height_m,Top_Height_m,Latitude,Longitude,Elevation_m,Section,Facies_ID,Facies_Notes,Vertical_Height_m,Lateral_Distance_m,Notes,Checkin_Field,Other
AF-NCF-DG-16-01,0.3,0.4,N40 29.042,W116 10.950,1789,DG,Sc,"abundant fine sand, moderately well sorted, subangular, quartz-rich, some Mn staining?, micrite matrix supported",NA,NA,"2 pictures, last shows laterally along strike",7/12/16,"I'm assigning DG samples a new facies, these are flirt between being matrix-supported, calcaerous sandstones"
AF-NCF-DG-16-02,4.25,4.35,N40 29.049,W116 10.951,1791,DG,Sc,"calcareous, matrix-supported fine ss, subangular, some black matrix patches that seem to have replaced the original micrite matrix",NA,NA,"3 pictures, last of whole trench",7/12/16,
AF-NCF-DG-16-03,9.5,9.7,N40 29.048,W116 10.947,1792,DG,Sc,"abundant fine chert and quartz-rich ss, fine with some medium/large sand grains, subangular",NA,NA,"2 pictures, last is zoom in",7/12/16,
AF-NCF-DG-16-04,10.25,10.5,N40 29.048,W116 10.946,1797,DG,F/M,"(Fine/Mic) very strange red mudstone (non-calc), and yellow/orange calcareous directional textured patches??",NA,NA,"2 pictures, last is zoom in",7/12/16,
AF-NCF-DG-16-05,13,13.25,N40 29.048,W116 10.943,1796,DG,M,"red micrite with silt-size quartz and chert clasts (subrounded), many dark to black spots (Mn?)",NA,NA,3 pictures,7/12/16,
AF-NCF-DG-16-06,16.5,16.75,N40 29.052,W116 10.942,1795,DG,M,"red micrite with silt-size quartz clasts, ~50% transparent mineral patches that don’t have extinction ",NA,NA,"4 pictures, bad light",7/12/16,
AF-NCF-DG-16-07,18.9,19,N40 29.054,W116 10.940,1797,DG,Sc,"red micrite with yellow mottling with abundant finesand to silt-sized quartz and chert subangular clasts, matrixsupported",NA,NA,,7/12/16,
AF-NCF-TS-16-01,7.15,7.25,N39 30.917,W115 51.286,2297,TS1,Mp,,NA,NA,3 Pictures,7/8/16,
AF-NCF-TS-16-02,22.2,22.28,N39 30.926,W115 51.299,2311,TS1,Gc,,NA,NA,"3 Pictures, last is outcrop scale to where 03 is from.",7/8/16,
AF-NCF-TS-16-03,22.8,22.9,N39 30.927,W115 51.299,2311,TS1,Mp,,NA,NA,"3 pictures, last shows dslope to 02",7/8/16,
AF-NCF-TS-16-04,30.9,31,N39 30.928,W115 51.310,2315,TS1,Mp,,NA,NA,"4 pictures, last shows conglom LS",7/8/16,
AF-NCF-TS2-16-01,1.5,1.6,N39 30.835,W115 51.387,2256,TS2,Mp,,NA,NA,"3 Pictures, last is zoom in",7/11/16,
AF-NCF-TS2-16-02,8,8.1,N39 30.845,W115 51.387,2261,TS2,Mp,,NA,NA,"2 pictures, last is zoom in",7/11/16,
AF-NCF-TS2-16-03,9.25,9.35,N39 30.845,W115 51.387,2265,TS2,Mp,,NA,NA,sledge head at sample,7/11/16,
AF-NCF-TS2-16-04,17.75,17.85,N39 30.862,W115 51.377,2274,TS2,Mp,gray endmember,NA,NA,"3 pictures, last w/ conglom",7/11/16,
AF-NCF-TS2-16-05,20,20.1,N39 30.872,W115 51.368,2279,TS2,Mp,gray endmember,NA,NA,2 pictures,7/11/16,
AF-NCF-TS2-16-06,21.25,21.35,N39 30.872,W115 51.368,2279,TS2,Mp,,NA,NA,"3 pictures, last shows patchy conglom to right along strike",7/11/16,
AF-NCF-TS2-16-07,22.5,22.6,N39 30.881,W115 51.355,2282,TS2,Mp,gray endmember,NA,NA,"5 pictures: 3 before, 2 after",7/13/16,
AF-NCF-TS2-16-08.1,22.5,22.6,N39 30.881,W115 51.355,2282,TS2,Gc,,NA,NA,1 ripup clast,7/13/16,
AF-NCF-TS2-16-08.2,22.5,22.6,N39 30.881,W115 51.355,2282,TS2,Mm,"gray endmember, abundant pebbles!",,,,,
AF-NCF-TS2-16-09,25.5,25.6,N39 30.890,W115 51.351,2289,TS2,Mm,gray endmember,NA,NA,2 pictures,7/13/16,
AF-NCF-TS2-16-10,28.25,28.35,N39 30.891,W115 51.351,2291,TS2,Mm,gray endmember,NA,NA,2 pictures,7/13/16,
AF-NCF-TS2-16-11,29.5,29.6,N39 30.892,W115 51.354,2291,TS2,Mm,gray endmember,NA,NA,2 pictures,7/13/16,
AF-NCF-TS2-16-12,32.5,32.6,N39 30.896,W115 51.350,2294,TS2,Mm,red endmember,NA,NA,2 pictures,7/13/16,
AF-NCF-TS2-16-13,36.5,36.7,N3930.898,W115 51.355,2295,TS2,Mp,,NA,NA,2 pictures,7/13/16,
AF-NCF-TS2-16-14,38.25,38.35,N39 30.900,W115 51.355,2297,TS2,Mp,,NA,NA,2 pictures,7/13/16,
AF-NCF-TS2-16-15,38.5,38.6,N39 30.901,W115 51.357,2299,TS2,Mp,,NA,NA,"3 pictures, upslope and w/ conglom",7/13/16,
AF-NCF-TS2-16-16,40,40.1,N39 30.904,W115 51.355,2300,TS2,Mp,gray endmember,NA,NA,"2 pictures, shot facing back toward conglom (note shovel)",7/13/16,
AF-NCF-TS2-16-17,43.5,43.6,N39 30.905,W115 51.359,2300,TS2,Mp,,NA,NA,"2 pictures, last looking uphill",7/13/16,
AF-NCF-TS2-16-18,48,48.1,N39 30.916,W115 51.353,2303,TS2,Mp,peloid rich,NA,NA,"2 pictures, last upslope showing cover",7/13/16,
AF-NCF-TS2-16-19,51,51.1,N39 30.920,W115 51.353,2306,TS2,Mm,,NA,NA,2 pictures,7/13/16,
AF-NCF-TS2-16-20,53.5,53.6,N39 30.921,W115 51.357,2306,TS2,Mp,,NA,NA,3 pictures,7/13/16,
AF-NCF-TS2-16-21,55.5,55.6,N39 30.924,W115 51.357,2306,TS2,Mm,,NA,NA,2 pictures,7/13/16,
AF-NCF-TS2-16-22,57,57.1,N39 30.927,W115 51.357,2308,TS2,Mm,,NA,NA,"2 pictures, last is upslope along strike",7/13/16,
AF-NCF-TS2-16-23,58.5,58.6,N39 30.931,W115 51.356,2312,TS2,Mp,,NA,NA,"possible float! 2 pictures, laterally looking at other poss in-place float to right",7/13/16,
AF-NCF-TS2-16-24,62.25,62.35,N39 30.938,W115 51.354,2317,TS2,Mp,,NA,NA,2 pictures,7/13/16,
